chip,device_name,sm_count,git_commit,extension_md5,case_source,family,n_rows,n_cols,top_k,sorted_value,return_value,input_dtype,index_dtype,num_runs,backend,status,error_type,error_message,time(us),throughput(TB/s),bandwidth(GB/s),Byte(MB),relative_pct_vs_maca_c,note
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,6,256,512,0,0,bfloat16,int32,10,maca_c,pass,,,3.456,0.004444,4.444,0.015,100.0,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,6,256,512,0,0,bfloat16,int32,10,torch,pass,,"not applicable: the reference backend needs vocab_size >= topk, no window, no offset (tests/test.py's own guard)",,,,,,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,6,256,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,6,1024,512,0,0,bfloat16,int32,10,maca_c,pass,,,15.898,0.001546,1.546,0.025,100.0,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,6,1024,512,0,0,bfloat16,int32,10,torch,pass,,,26.01,0.000945,0.945,,61.12,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,6,1024,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,6,4096,512,0,0,bfloat16,int32,10,maca_c,pass,,,18.56,0.00331,3.31,0.061,100.0,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,6,4096,512,0,0,bfloat16,int32,10,torch,pass,,,51.098,0.001202,1.202,,36.32,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,6,4096,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,6,16384,512,0,0,bfloat16,int32,10,maca_c,pass,,,29.594,0.007059,7.059,0.209,100.0,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,6,16384,512,0,0,bfloat16,int32,10,torch,pass,,,140.211,0.00149,1.49,,21.11,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,6,16384,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,6,65536,512,0,0,bfloat16,int32,10,maca_c,pass,,,53.683,0.014878,14.878,0.799,100.0,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,6,65536,512,0,0,bfloat16,int32,10,torch,pass,,,178.176,0.004483,4.483,,30.13,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,6,65536,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,6,131072,512,0,0,bfloat16,int32,10,maca_c,pass,,,84.173,0.018832,18.832,1.585,100.0,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,6,131072,512,0,0,bfloat16,int32,10,torch,pass,,,221.312,0.007163,7.163,,38.03,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,6,131072,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,6,262144,512,0,0,bfloat16,int32,10,maca_c,pass,,,81.613,0.038695,38.695,3.158,100.0,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,6,262144,512,0,0,bfloat16,int32,10,torch,pass,,,263.45,0.011987,11.987,,30.98,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,6,262144,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,6,524288,512,0,0,bfloat16,int32,10,maca_c,pass,,,80.896,0.077924,77.924,6.304,100.0,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,6,524288,512,0,0,bfloat16,int32,10,torch,pass,,,301.67,0.020896,20.896,,26.82,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,6,524288,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,6,1048576,512,0,0,bfloat16,int32,10,maca_c,pass,,,109.978,0.114525,114.525,12.595,100.0,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,6,1048576,512,0,0,bfloat16,int32,10,torch,pass,,,378.419,0.033284,33.284,,29.06,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,6,1048576,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,256,256,512,0,0,bfloat16,int32,10,maca_c,pass,,,5.709,0.114794,114.794,0.655,100.0,
MetaX_C500,MetaX C500,104,c6e42a0b5df4d561028356cb1f78d9d8ac667fc3,e4fdbb981f5d229f2df0127eb106422c,official,lightning_indexer,256,256,512,0,0,bfloat16,int32,10,torch,pass,,"not applicable: the reference backend needs vocab_size >= topk, no window, no offset (tests/test.py's own guard)",,,,,,
