chip,device_name,sm_count,git_commit,extension_md5,case_source,family,n_rows,n_cols,top_k,sorted_value,return_value,input_dtype,index_dtype,num_runs,backend,status,error_type,error_message,time(us),throughput(TB/s),bandwidth(GB/s),Byte(MB),relative_pct_vs_maca_c,note
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,6,256,512,0,0,bfloat16,int32,10,maca_c,pass,,,2.304,0.006667,6.667,0.015,100.0,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,6,256,512,0,0,bfloat16,int32,10,torch,pass,,"not applicable: the reference arm needs vocab_size >= topk, no window, no offset (tests/test.py's own guard)",,,,,,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,6,256,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,6,1024,512,0,0,bfloat16,int32,10,maca_c,pass,,,10.803,0.002275,2.275,0.025,100.0,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,6,1024,512,0,0,bfloat16,int32,10,torch,pass,,,22.528,0.001091,1.091,,47.95,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,6,1024,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,6,4096,512,0,0,bfloat16,int32,10,maca_c,pass,,,11.469,0.005357,5.357,0.061,100.0,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,6,4096,512,0,0,bfloat16,int32,10,torch,pass,,,37.069,0.001657,1.657,,30.94,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,6,4096,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,6,16384,512,0,0,bfloat16,int32,10,maca_c,pass,,,17.997,0.011607,11.607,0.209,100.0,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,6,16384,512,0,0,bfloat16,int32,10,torch,pass,,,91.981,0.002271,2.271,,19.57,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,6,16384,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,6,65536,512,0,0,bfloat16,int32,10,maca_c,pass,,,33.51,0.023835,23.835,0.799,100.0,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,6,65536,512,0,0,bfloat16,int32,10,torch,pass,,,142.694,0.005597,5.597,,23.48,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,6,65536,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,6,131072,512,0,0,bfloat16,int32,10,maca_c,pass,,,55.219,0.028707,28.707,1.585,100.0,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,6,131072,512,0,0,bfloat16,int32,10,torch,pass,,,171.93,0.00922,9.22,,32.12,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,6,131072,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,6,262144,512,0,0,bfloat16,int32,10,maca_c,pass,,,101.606,0.031081,31.081,3.158,100.0,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,6,262144,512,0,0,bfloat16,int32,10,torch,pass,,,236.314,0.013364,13.364,,43.0,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,6,262144,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,6,524288,512,0,0,bfloat16,int32,10,maca_c,pass,,,89.984,0.070054,70.054,6.304,100.0,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,6,524288,512,0,0,bfloat16,int32,10,torch,pass,,,331.059,0.019041,19.041,,27.18,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,6,524288,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,6,1048576,512,0,0,bfloat16,int32,10,maca_c,pass,,,139.93,0.090011,90.011,12.595,100.0,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,6,1048576,512,0,0,bfloat16,int32,10,torch,pass,,,503.782,0.025001,25.001,,27.78,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,6,1048576,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,256,256,512,0,0,bfloat16,int32,10,maca_c,pass,,,4.762,0.137623,137.623,0.655,100.0,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,256,256,512,0,0,bfloat16,int32,10,torch,pass,,"not applicable: the reference arm needs vocab_size >= topk, no window, no offset (tests/test.py's own guard)",,,,,,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,256,256,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,256,1024,512,0,0,bfloat16,int32,10,maca_c,pass,,,35.712,0.029362,29.362,1.049,100.0,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,256,1024,512,0,0,bfloat16,int32,10,torch,pass,,,151.68,0.006913,6.913,,23.54,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,256,1024,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,256,4096,512,0,0,bfloat16,int32,10,maca_c,pass,,,48.154,0.054439,54.439,2.621,100.0,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,256,4096,512,0,0,bfloat16,int32,10,torch,pass,,,250.419,0.010468,10.468,,19.23,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,256,4096,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,256,16384,512,0,0,bfloat16,int32,10,maca_c,pass,,,96.384,0.092473,92.473,8.913,100.0,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,256,16384,512,0,0,bfloat16,int32,10,torch,pass,,,569.498,0.01565,15.65,,16.92,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,256,16384,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,256,65536,512,0,0,bfloat16,int32,10,maca_c,pass,,,315.622,0.107973,107.973,34.079,100.0,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,256,65536,512,0,0,bfloat16,int32,10,torch,pass,,,1265.843,0.026922,26.922,,24.93,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,256,65536,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,256,131072,512,0,0,bfloat16,int32,10,maca_c,pass,,,525.722,0.128648,128.648,67.633,100.0,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,256,131072,512,0,0,bfloat16,int32,10,torch,pass,,,2187.494,0.030918,30.918,,24.03,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,256,131072,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,256,262144,512,0,0,bfloat16,int32,10,maca_c,pass,,,936.832,0.143827,143.827,134.742,100.0,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,256,262144,512,0,0,bfloat16,int32,10,torch,pass,,,4064.307,0.033153,33.153,,23.05,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,256,262144,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,256,524288,512,0,0,bfloat16,int32,10,maca_c,pass,,,1762.534,0.152598,152.598,268.96,100.0,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,256,524288,512,0,0,bfloat16,int32,10,torch,pass,,,7810.714,0.034435,34.435,,22.57,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,256,524288,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,256,1048576,512,0,0,bfloat16,int32,10,maca_c,pass,,,3444.045,0.156036,156.036,537.395,100.0,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,256,1048576,512,0,0,bfloat16,int32,10,torch,pass,,,15280.333,0.035169,35.169,,22.54,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,256,1048576,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,512,256,512,0,0,bfloat16,int32,10,maca_c,pass,,,7.219,0.181565,181.565,1.311,100.0,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,512,256,512,0,0,bfloat16,int32,10,torch,pass,,"not applicable: the reference arm needs vocab_size >= topk, no window, no offset (tests/test.py's own guard)",,,,,,
metax_xcore1600,MetaX C600-U,32,ae90fa2015eec8f463621c882b7d7170dab5194f,727b6c4ef538e42e0467832e97c2457c,official,lightning_indexer,512,256,512,0,0,bfloat16,int32,10,deep_gemm,unsupported,UnsupportedByBackend,"backend 'deep_gemm' ranks float32 scores, and was given torch.bfloat16; 'maca_c' and 'torch' take bfloat16 as well",,,,,,
