chip,device_name,sm_count,git_commit,extension_md5,family,n_rows,n_cols,seq_len,top_k,sorted_value,return_value,input_dtype,index_dtype,official_cell,torch_us,maca_c_us,deep_gemm_us,speedup_vs_torch,speedup_vs_deep_gemm,maca_c_ok,torch_ok,deep_gemm_ok,sets_match_torch,sets_match_deep_gemm,logical_gbps_maca_c,note
metax_xcore1000,MetaX C500,104,e84bf9c27567af0484fbd288fb1fe9d0944e963e,d07e79f595b00dfc2683b941a8484a07,deep_gemm_axes,1,66551,66551,2048,0,0,float32,int32,0,214.37,128.08,52.35,1.674,0.409,1,1,1,1,1,2.1,
metax_xcore1000,MetaX C500,104,e84bf9c27567af0484fbd288fb1fe9d0944e963e,d07e79f595b00dfc2683b941a8484a07,deep_gemm_axes,16,66551,66551,2048,0,0,float32,int32,0,339.46,142.28,53.66,2.386,0.377,1,1,1,1,1,29.9,
metax_xcore1000,MetaX C500,104,e84bf9c27567af0484fbd288fb1fe9d0944e963e,d07e79f595b00dfc2683b941a8484a07,deep_gemm_axes,132,66551,66551,2048,0,0,float32,int32,0,640.26,198.07,105.16,3.232,0.531,1,1,1,1,1,177.4,
metax_xcore1000,MetaX C500,104,e84bf9c27567af0484fbd288fb1fe9d0944e963e,d07e79f595b00dfc2683b941a8484a07,deep_gemm_axes,512,66551,66551,2048,0,0,float32,int32,0,1602.07,546.97,238.16,2.929,0.435,1,1,1,1,1,249.2,
metax_xcore1000,MetaX C500,104,e84bf9c27567af0484fbd288fb1fe9d0944e963e,d07e79f595b00dfc2683b941a8484a07,deep_gemm_axes,1,131072,2048,2048,0,0,float32,int32,0,252.57,807.94,61.7,0.313,0.076,1,1,1,1,1,0.6,"seq_len < n_cols: the arms rank the whole row; the declared window is a column, not a smaller read"
metax_xcore1000,MetaX C500,104,e84bf9c27567af0484fbd288fb1fe9d0944e963e,d07e79f595b00dfc2683b941a8484a07,deep_gemm_axes,1,131072,4096,2048,0,0,float32,int32,0,252.08,800.69,61.75,0.315,0.077,1,1,1,1,1,0.7,"seq_len < n_cols: the arms rank the whole row; the declared window is a column, not a smaller read"
metax_xcore1000,MetaX C500,104,e84bf9c27567af0484fbd288fb1fe9d0944e963e,d07e79f595b00dfc2683b941a8484a07,deep_gemm_axes,1,131072,16384,2048,0,0,float32,int32,0,250.73,808.01,61.95,0.31,0.077,1,1,1,1,1,0.6,"seq_len < n_cols: the arms rank the whole row; the declared window is a column, not a smaller read"
metax_xcore1000,MetaX C500,104,e84bf9c27567af0484fbd288fb1fe9d0944e963e,d07e79f595b00dfc2683b941a8484a07,deep_gemm_axes,1,131072,65536,2048,0,0,float32,int32,0,247.63,803.61,62.03,0.308,0.077,1,1,1,1,1,0.7,"seq_len < n_cols: the arms rank the whole row; the declared window is a column, not a smaller read"
metax_xcore1000,MetaX C500,104,e84bf9c27567af0484fbd288fb1fe9d0944e963e,d07e79f595b00dfc2683b941a8484a07,deep_gemm_axes,132,131072,2048,2048,0,0,float32,int32,0,1012.22,1660.19,173.24,0.61,0.104,1,1,1,1,1,41.7,"seq_len < n_cols: the arms rank the whole row; the declared window is a column, not a smaller read"
metax_xcore1000,MetaX C500,104,e84bf9c27567af0484fbd288fb1fe9d0944e963e,d07e79f595b00dfc2683b941a8484a07,deep_gemm_axes,132,131072,4096,2048,0,0,float32,int32,0,1005.64,1665.0,172.8,0.604,0.104,1,1,1,1,1,41.6,"seq_len < n_cols: the arms rank the whole row; the declared window is a column, not a smaller read"
metax_xcore1000,MetaX C500,104,e84bf9c27567af0484fbd288fb1fe9d0944e963e,d07e79f595b00dfc2683b941a8484a07,deep_gemm_axes,132,131072,16384,2048,0,0,float32,int32,0,1011.33,1659.8,173.08,0.609,0.104,1,1,1,1,1,41.7,"seq_len < n_cols: the arms rank the whole row; the declared window is a column, not a smaller read"
metax_xcore1000,MetaX C500,104,e84bf9c27567af0484fbd288fb1fe9d0944e963e,d07e79f595b00dfc2683b941a8484a07,deep_gemm_axes,132,131072,65536,2048,0,0,float32,int32,0,1015.91,1664.44,173.21,0.61,0.104,1,1,1,1,1,41.6,"seq_len < n_cols: the arms rank the whole row; the declared window is a column, not a smaller read"
metax_xcore1000,MetaX C500,104,e84bf9c27567af0484fbd288fb1fe9d0944e963e,d07e79f595b00dfc2683b941a8484a07,deep_gemm_axes,256,131072,2048,2048,0,0,float32,int32,0,1614.59,2792.96,243.58,0.578,0.087,1,1,1,1,1,48.1,"seq_len < n_cols: the arms rank the whole row; the declared window is a column, not a smaller read"
metax_xcore1000,MetaX C500,104,e84bf9c27567af0484fbd288fb1fe9d0944e963e,d07e79f595b00dfc2683b941a8484a07,deep_gemm_axes,256,131072,4096,2048,0,0,float32,int32,0,1613.59,2785.15,243.33,0.579,0.087,1,1,1,1,1,48.2,"seq_len < n_cols: the arms rank the whole row; the declared window is a column, not a smaller read"
metax_xcore1000,MetaX C500,104,e84bf9c27567af0484fbd288fb1fe9d0944e963e,d07e79f595b00dfc2683b941a8484a07,deep_gemm_axes,256,131072,16384,2048,0,0,float32,int32,0,1612.08,2795.14,244.2,0.577,0.087,1,1,1,1,1,48.0,"seq_len < n_cols: the arms rank the whole row; the declared window is a column, not a smaller read"
